Brand,Model,Title,BodyType,Doors,Seats,Kilometres,Cylinders,EngineLiters,Fuel100KM,Color,City,State,Price,LogPrice,antigüedad,FuelType_Hybrid,FuelType_LPG,FuelType_Premium,FuelType_Unleaded,Transmission_Manual,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear,UsedOrNew_NEW,UsedOrNew_USED,Cluster,Año_Fabricacion
53,441,2022 Ssangyong Rexton Ultimate (awd),6,-0.19541313184443815,1.7957787101786438,-1.6178973575429756,-0.3383172418380758,-0.032174751477738864,0.53626015583844,17,99,1,51990.0,10.858825905660948,2,0,0,0,0,0,1,0,0,0,0,0,3,2022
34,348,2022 MG MG3 Auto Excite (with Navigation),3,1.819493336867675,-0.10229760166643412,-2.2346904413213666,-0.3383172418380758,-1.3236755380648566,-0.5363110884107128,1,68,1,19990.0,9.903037451255743,2,0,0,1,0,0,0,1,0,0,0,1,2,2022
4,47,2022 BMW 430I M Sport,2,-2.386352565355528,-1.0720922910481312,-1.4771631131697236,-0.3383172418380758,-0.343375689043855,-0.5960441484647451,9,482,1,108988.0,11.599002238687582,2,0,0,1,0,0,0,0,0,1,0,1,3,2022
32,446,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,6,-2.386352565355528,-1.0720922910481312,-0.1713693183803455,-0.3383172418380758,-0.343375689043855,-1.5851620791726544,17,55,1,62280.0,11.039411682337978,7,0,0,0,0,0,1,0,0,0,0,1,3,2017
57,68,2013 Toyota 86 GT,2,-2.386352565355528,-1.0720922910481312,0.0258586727213138,-0.3383172418380758,-0.343375689043855,-0.30390266637351315,1,305,1,24888.0,10.122181217776706,11,0,0,1,0,0,0,0,0,1,0,1,0,2013
23,306,2014 Honda Jazz Hybrid,3,1.819493336867675,-0.10229760166643412,-0.6628826507339133,-0.3383172418380758,-1.8268322505999197,-2.0409727305320886,2,281,1,17900.0,9.792611856190192,10,1,0,0,0,0,0,1,0,0,0,1,2,2014
57,287,2018 Toyota HiAce LWB,0,-0.19541313184443815,-3.0702492154064758,-1.1911230935544606,-0.3383172418380758,0.6068650712314256,1.0466665800666697,17,281,1,41999.0,10.645424897265505,6,0,0,0,1,0,0,0,0,1,0,1,3,2018
58,275,2012 Volkswagen Golf 90 TSI Trendline,3,1.819493336867675,-0.10229760166643412,-0.35408261919600365,-0.3383172418380758,-1.5654268785583831,-0.8419958951759835,17,183,1,14999.0,9.615805480084347,12,0,0,1,0,0,0,1,0,0,0,1,2,2012
4,534,2014 BMW X3 Xdrive 20D,6,-0.19541313184443815,-0.10229760166643412,0.033842005768851595,-0.3383172418380758,-0.343375689043855,-1.2340854798774141,1,221,1,24985.0,10.126070946991774,10,0,0,0,0,0,0,0,0,0,0,1,0,2014
4,1,2011 BMW 118D,3,1.819493336867675,-0.10229760166643412,0.1914224156063858,-0.3383172418380758,-0.343375689043855,-1.371656911436514,15,183,1,13999.0,9.546812608597396,13,0,0,0,0,0,0,0,0,1,0,1,2,2011
15,220,2014 Ford Fiesta Sport,3,1.819493336867675,-0.10229760166643412,-0.050393117296718214,-3.61098125449118,-2.757055310312451,-1.371656911436514,17,85,1,12400.0,9.425532393502772,10,0,0,0,1,0,0,1,0,0,0,1,2,2014
41,388,2012 Mitsubishi Outlander LS (4X4),6,-0.19541313184443815,1.7957787101786438,1.3656458369867324,-0.3383172418380758,0.2445746496916485,-0.08122822514728265,1,55,1,13999.0,9.546812608597396,12,0,0,0,1,0,1,0,0,0,0,1,0,2012
15,220,2013 Ford Fiesta Zetec,3,1.819493336867675,-0.10229760166643412,0.22584250120881985,-0.3383172418380758,-1.0993996771634706,-0.9053295196210648,2,55,1,11999.0,9.392661928770137,11,0,0,0,1,0,0,1,0,0,0,1,2,2013
58,92,2023 Volkswagen Amarok Style TDI600 4Motion,8,-0.19541313184443815,-0.10229760166643412,-2.235931673794018,1.6778175690283474,0.9179628193666983,0.3883706605314973,17,55,1,83887.0,11.337237854812313,1,0,0,0,0,0,1,0,0,0,1,0,3,2023
23,306,2018 Honda Jazz VTI,3,1.819493336867675,-0.10229760166643412,-0.5669701299771917,-0.3383172418380758,-1.3236755380648566,-1.1000776658104299,15,105,1,19900.0,9.898525260706313,6,0,0,0,1,0,0,1,0,0,0,1,2,2018
54,387,2012 Subaru Outback 2.5I,6,-0.19541313184443815,-0.10229760166643412,0.31423242212757074,-0.3383172418380758,0.3718035938769702,0.3883706605314973,1,201,1,17990.0,9.79762691183662,12,0,0,1,0,0,1,0,0,0,0,1,0,2012
41,370,2018 Mitsubishi Mirage ES,3,1.819493336867675,-0.10229760166643412,-0.6905441227007277,-3.61098125449118,-2.1104528622608916,-1.8844477786738199,1,90,1,14995.0,9.615538777855802,6,0,0,0,1,0,0,1,0,0,0,1,2,2018
57,151,2005 Toyota Camry Altise,7,-0.19541313184443815,-0.10229760166643412,0.42722672701087083,-0.3383172418380758,0.2445746496916485,1.0466665800666697,15,274,1,8499.0,9.047821442478408,19,0,0,0,1,0,0,1,0,0,0,1,0,2005
24,293,2011 Hyundai I45 Active,7,-0.19541313184443815,-0.10229760166643412,1.1253238217494081,-0.3383172418380758,0.2445746496916485,0.13255038682889927,15,135,1,12990.0,9.472012088995733,13,0,0,0,1,0,0,1,0,0,0,1,0,2011
15,495,2015 Ford Territory TS (rwd),6,-0.19541313184443815,1.7957787101786438,0.9893025938810756,1.6778175690283474,0.6068650712314256,0.2874903807664528,2,55,1,16999.0,9.740968623038354,9,0,0,0,0,0,0,0,0,1,0,1,1,2015
